Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1638476	1638476	Sargassum cystophyllum	Montagne, 1842	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum cystophyllum	1638476	TRUE
1638477	1638477	Sargassum cystophyllum var. parcespinosa	Grunow, 1915	VARIETAS				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum cystophyllum	1638476	TRUE
1638478	1638478	Sargassum pseudolanceolatum	Tseng & Lu, 2002	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Fucales	3009	Sargassaceae	3014	Sargassum	3015	Sargassum pseudolanceolatum	1638478	TRUE
1638582	1638582	Lobophora abscondita	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora abscondita	1638582	TRUE
1638585	1638585	Lobophora densa	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora densa	1638585	TRUE
1638587	1638587	Lobophora gibbera	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora gibbera	1638587	TRUE
1638592	1638592	Lobophora petila	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora petila	1638592	TRUE
1638593	1638593	Lobophora monticola	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora monticola	1638593	TRUE
1638594	1638594	Lobophora hederacea	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora hederacea	1638594	TRUE
1638595	1638595	Lobophora undulata	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora undulata	1638595	TRUE
1638596	1638596	Lobophora dimorpha	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora dimorpha	1638596	TRUE
1638597	1638597	Lobophora abaculusa	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora abaculusa	1638597	TRUE
1638598	1638598	Lobophora rosacea	C.W.Vieira, Payri & De Clerck, 2014	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora rosacea	1638598	TRUE
1638602	1638602	Lobophora crassa 2 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora crassa 2 CWV-2015	1638602	FALSE
1638603	1638603	Lobophora crassa 4 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora crassa 4 CWV-2015	1638603	FALSE
1638604	1638604	Lobophora crassa 5 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora crassa 5 CWV-2015	1638604	FALSE
1638605	1638605	Lobophora pachyventera 2 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora pachyventera 2 CWV-2015	1638605	FALSE
1638606	1638606	Lobophora sp. 1 CWV-2015		SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Dictyotales	2873	Dictyotaceae	2874	Lobophora	157000	Lobophora sp. 1 CWV-2015	1638606	FALSE
